Gene	Mut ID	MG1655 Position	DNA Mutation	Mutation Type	CDS position	AA position	AA mutation	Upstream Gene	Downstream Gene	Population ID	Gen 0 frequency	Gen 100 frequency	Gen 200 frequency	Gen 300 frequency	Gen 400 frequency	Gen 500 frequency	Gen 600 frequency	Gen 700 frequency	Gen 800 frequency	Gen 900 frequency	Gen 1000 frequency	Gen 0 read depth	Gen 100 read depth	Gen 200 read depth	Gen 300 read depth	Gen 400 read depth	Gen 500 read depth	Gen 600 read depth	Gen 700 read depth	Gen 800 read depth	Gen 900 read depth	Gen 1000 read depth	Multiply hit locus
acpP	1204	1151627	G->A	NSYN	  13	   5	E->K			E_3	0.000000000	0.020833333	0.090000000	0.310344828	0.323076923	0.262295082	1.000000000	0.989583333	1.000000000	1.000000000	1.000000000	186.0	144.0	100.0	145.0	 65.0	 61.0	151.0	 96.0	114.0	153.0	128.0	FALSE
gtrS	1296	2470451	G->A	NSYN	1321	 441	V->I			E_4	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.014388489	0.080000000	0.231132075	263.0	292.0	160.0	221.0	226.0	251.0	247.0	210.0	139.0	200.0	212.0	FALSE
ftsB	1319	2872565	G->T	NSYN	 256	  86	R->S			E_4	0.000000000	0.000000000	0.000000000	0.000000000	0.023622047	0.116504854	0.814285714	0.922330097	0.957746479	0.952000000	0.993865031	183.0	144.0	102.0	123.0	127.0	103.0	140.0	103.0	 71.0	125.0	163.0	FALSE
trkH	1382	4033595	C->T	NSYN	 451	 151	P->S			E_4	0.000000000	0.390243902	0.857142857	0.855345912	0.777027027	0.924369748	1.000000000	1.000000000	0.968421053	1.000000000	0.989690722	146.0	164.0	 77.0	159.0	148.0	119.0	169.0	134.0	 95.0	148.0	194.0	 TRUE
trkH	1382	4033595	C->T	NSYN	 451	 151	P->S			Y_3	0.000000000	0.432432432	0.920731707	0.956043956	0.902654867	0.649350649		0.969924812	0.990384615	0.990654206	1.000000000	132.0	 74.0	164.0	 91.0	113.0	 77.0		133.0	104.0	107.0	138.0	 TRUE
trkH	1382	4033595	C->T	NSYN	 451	 151	P->S			Y_4	0.000000000	0.473684211	0.726190476	0.771929825	0.977777778	1.000000000	1.000000000	0.990909091	0.981818182	1.000000000	0.989361702	132.0	114.0	 84.0	114.0	135.0	 77.0	 84.0	110.0	110.0	 72.0	 94.0	 TRUE
fimD	1411	4545085	C->G	NCOD				fimD	fimI	E_4	0.000000000	0.000000000	0.491071429	0.841379310	0.837662338	0.962406015	1.000000000	0.993670886	0.990909091	1.000000000	0.990196078	224.0	180.0	112.0	145.0	154.0	133.0	158.0	158.0	110.0	133.0	204.0	 TRUE
fimD	1411	4545085	C->G	NCOD				fimD	fimI	S_1	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.022388060	0.239669421	0.263803681	0.196078431	178.0	 69.0	134.0	 96.0	 74.0	 58.0	141.0	134.0	121.0	163.0	153.0	 TRUE
fimD	1411	4545085	C->G	NCOD				fimD	fimI	Y_3	0.000000000	0.000000000	0.109452736	0.921052632	0.872180451	0.594059406		0.955752212	0.941176471	0.990000000	1.000000000	171.0	 87.0	201.0	 76.0	133.0	101.0		113.0	119.0	100.0	149.0	 TRUE
fimD	1411	4545085	C->G	NCOD				fimD	fimI	V_5	0.000000000	0.004347826	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.035398230	0.589403974	0.671641791	0.758241758	190.0	230.0	135.0	135.0	111.0	137.0	198.0	113.0	151.0	 67.0	182.0	 TRUE
arcA	1414	4640201	C->T	NSYN	 106	  36	G->S			E_4	0.000000000	0.000000000	0.008333333	0.000000000	0.100877193	0.636363636	0.012658228	0.000000000	0.000000000	0.000000000	0.000000000	280.0	302.0	120.0	234.0	228.0	176.0	237.0	247.0	164.0	184.0	276.0	 TRUE
ybjN	1418	 893015	G->A	NSYN	  59	  20	G->E			E_4	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.007462687	0.087912088	0.150943396	0.222222222	233.0	188.0	 90.0	162.0	148.0	117.0	119.0	134.0	 91.0	106.0	189.0	FALSE
	1448	4123536	indel;+GCTT							E_4	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.007727975	0.011848341	0.068587106	0.246507806	182.4	152.4	 76.0	145.9	129.4	111.0	185.9	129.4	 84.4	145.8	243.4	FALSE
yejM	1546	2284995	C->A	NSYN	 620	 207	P->Q			E_5	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.052910053	0.311111111	320.0	106.0	129.0	130.0	155.0	123.0	132.0	159.0	119.0	189.0	135.0	FALSE
alaA	1563	2407045	T->C	NCOD				alaA		S_1	0.003968254	0.000000000	0.136363636	0.400000000	0.635593220	0.735294118	0.005780347	0.000000000	0.000000000	0.000000000	0.000000000	252.0	119.0	132.0	120.0	118.0	 68.0	173.0	151.0	178.0	221.0	203.0	 TRUE
alaA	1563	2407045	T->C	NCOD				alaA		S_2	0.003968254	0.000000000	0.052287582	0.285714286	0.264900662	0.411214953	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	252.0	162.0	153.0	 77.0	151.0	107.0	250.0	198.0	159.0	223.0	153.0	 TRUE
alaA	1563	2407045	T->C	NCOD				alaA		S_3	0.003968254	0.000000000	0.000000000	0.049295775	0.138297872	0.427184466	0.038674033	0.000000000	0.000000000	0.000000000	0.000000000	252.0	165.0	118.0	142.0	 94.0	103.0	181.0	206.0	165.0	246.0	114.0	 TRUE
trkH	1646	4033614	G->C	NSYN	 470	 157	G->A			E_5	0.000000000	0.207317073	0.854545455	0.901234568	0.725000000	0.788135593	1.000000000	0.989130435	0.980392157	0.993421053	0.976190476	155.0	 82.0	 55.0	 81.0	120.0	118.0	 76.0	 92.0	102.0	152.0	 84.0	 TRUE
fimE	1694	4542191	A->C	NSYN	 155	  52	D->A			E_5	0.002865330	0.000000000	0.703030303	0.631901840	0.766233766	0.660000000	0.993975904	0.989898990	1.000000000	0.981900452	0.994594595	349.0	151.0	165.0	163.0	231.0	150.0	166.0	198.0	151.0	221.0	185.0	FALSE
fimA	1695	4542681	indel;A-1	NCOD				fimA	fimE	V_3	0.000000000	0.009523810	0.000000000	0.000000000	0.013333333	0.000000000	0.231343284	0.000000000	0.000000000	0.006756757	0.090909091	141.0	105.0	133.0	 50.0	 75.0	 41.0	134.0	132.0	 74.0	148.0	 88.0	 TRUE
fimD	1696	4545071	C->T	NCOD				fimD	fimI	E_5	0.000000000	0.000000000	0.000000000	0.000000000	0.776397516	0.563909774	0.345794393	0.828767123	0.921875000	0.966101695	1.000000000	245.0	112.0	 79.0	108.0	161.0	133.0	107.0	146.0	128.0	177.0	133.0	 TRUE
fimD	1696	4545071	C->T	NCOD				fimD	fimI	E_6	0.000000000	0.000000000	0.000000000	0.000000000	0.560344828	0.561497326	0.661417323	0.683673469	0.794701987	0.892857143	0.975000000	245.0	154.0	112.0	141.0	116.0	187.0	127.0	 98.0	151.0	 28.0	120.0	 TRUE
fimD	1696	4545071	C->T	NCOD				fimD	fimI	S_6	0.000000000	0.000000000	0.000000000	0.268041237	0.464516129	0.448529412	0.141975309	0.558620690	0.645390071	0.621052632	0.723756906	200.0	143.0	153.0	 97.0	155.0	136.0	162.0	145.0	141.0	190.0	181.0	 TRUE
fimD	1696	4545071	C->T	NCOD				fimD	fimI	Y_6	0.000000000	0.000000000	0.458015267	0.814569536	0.564516129	0.402439024	0.503184713	0.818652850	0.879432624	0.946428571	0.984251969	180.0	150.0	131.0	151.0	124.0	164.0	157.0	193.0	141.0	168.0	127.0	 TRUE
fimD	1696	4545071	C->T	NCOD				fimD	fimI	A_4	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.137681159	0.269938650	0.361445783	0.117283951	156.0	 78.0	167.0	110.0	127.0	150.0	137.0	138.0	163.0	166.0	162.0	 TRUE
eco	1814	2304649	C->T	NCOD					eco	S_5	0.000000000	0.062500000	0.054054054	0.000000000	0.178571429	0.057142857	0.000000000	0.066666667	0.115384615	0.142857143	0.269230769	 37.0	 32.0	 37.0	 17.0	 28.0	 35.0	 24.0	 15.0	 26.0	 21.0	 26.0	 TRUE
eco	1814	2304649	C->T	NCOD					eco	V_5	0.000000000	0.095238095	0.034482759	0.263157895	0.000000000	0.041666667	0.045454545	0.055555556	0.071428571	0.000000000	0.047619048	 40.0	 21.0	 29.0	 19.0	 18.0	 24.0	 22.0	 18.0	 28.0	 13.0	 21.0	 TRUE
eco	1814	2304649	C->T	NCOD					eco	V_6	0.000000000	0.200000000	0.192307692	0.166666667	0.074074074	0.066666667	0.250000000	0.071428571	0.166666667	0.038461538	0.333333333	 40.0	 20.0	 26.0	  6.0	 27.0	 15.0	  4.0	 14.0	  6.0	 26.0	 12.0	 TRUE
npr	1846	3348018	G->T	NSYN	  53	  18	R->L			E_6	0.000000000	0.000000000	0.012195122	0.013605442	0.011764706	0.061728395	0.087912088	0.257425743	0.133858268	0.100000000	0.023076923	207.0	106.0	 82.0	147.0	 85.0	162.0	 91.0	101.0	127.0	 30.0	130.0	FALSE
ftsI	1949	  92257	A->C	NSYN	 845	 282	N->T			S_1	0.000000000	0.000000000	0.000000000	0.169491525	0.305970149	0.066666667	0.839285714	0.807692308	0.951923077	0.968992248	0.950704225	183.0	 74.0	136.0	118.0	134.0	 60.0	112.0	130.0	104.0	129.0	142.0	 TRUE
prpB	1958	 348476	G->A	NCOD				prpB		S_1	0.000000000	0.000000000	0.000000000	0.000000000	0.028037383	0.042553191	0.459677419	0.143835616	0.057692308	0.158273381	0.166666667	198.0	 90.0	129.0	110.0	107.0	 47.0	124.0	146.0	104.0	139.0	150.0	FALSE
ydhT	1989	1749011	G->C	NSYN	 549	 183	D->E			S_1	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.030769231	0.359154930	0.576923077	0.577922078	0.637037037	224.0	 97.0	149.0	111.0	113.0	 67.0	130.0	142.0	104.0	154.0	135.0	FALSE
trkH	2085	4033607	G->A	NSYN	 463	 155	V->M			S_1	0.007092199	0.244897959	0.528455285	0.561797753	0.297297297	0.369565217	1.000000000	1.000000000	1.000000000	0.976377953	0.967479675	141.0	 49.0	123.0	 89.0	 74.0	 46.0	 87.0	137.0	 81.0	127.0	123.0	 TRUE
trkH	2085	4033607	G->A	NSYN	 463	 155	V->M			S_2	0.007092199	0.239583333	0.600000000	0.466666667	0.396039604	0.304347826	0.992307692	1.000000000	0.972727273	1.000000000	0.977272727	141.0	 96.0	 80.0	 60.0	101.0	 69.0	130.0	115.0	110.0	122.0	132.0	 TRUE
trkH	2085	4033607	G->A	NSYN	 463	 155	V->M			S_5	0.007092199	0.305343511	0.787610619	0.780821918	0.713043478	0.646017699	0.983739837	0.990654206	0.985815603	0.990000000	0.993006993	141.0	131.0	113.0	 73.0	115.0	113.0	123.0	107.0	141.0	100.0	143.0	 TRUE
cytR	2089	4124080	C->T	NSYN	 377	 126	G->D			S_1	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.017241379	0.041666667	0.560000000	0.539215686	0.664062500	0.635714286	146.0	 56.0	135.0	107.0	 83.0	 58.0	 96.0	100.0	102.0	128.0	140.0	 TRUE
fimD	2115	4545070	C->T	NCOD				fimD	fimI	S_2	0.000000000	0.000000000	0.015384615	0.089552239	0.297029703	0.346666667	0.994047619	0.979865772	1.000000000	0.993827160	0.988700565	202.0	 83.0	130.0	 67.0	101.0	 75.0	168.0	149.0	120.0	162.0	177.0	 TRUE
fimD	2115	4545070	C->T	NCOD				fimD	fimI	S_3	0.000000000	0.000000000	0.021978022	0.000000000	0.000000000	0.300000000	0.187919463	0.296703297	0.064102564	0.093750000	0.218045113	202.0	100.0	 91.0	138.0	 69.0	 90.0	149.0	182.0	156.0	192.0	133.0	 TRUE
fimD	2115	4545070	C->T	NCOD				fimD	fimI	Y_1	0.000000000	0.000000000	0.008771930	0.195121951	0.653061224	0.807692308	0.780000000	0.899441341	0.956834532	0.971631206	0.823529412	185.0	 72.0	114.0	 82.0	 98.0	 52.0	200.0	179.0	139.0	141.0	136.0	 TRUE
fimD	2115	4545070	C->T	NCOD				fimD	fimI	Y_4	0.000000000	0.000000000	0.000000000	0.007092199	0.829629630	0.933962264	0.828571429	0.949494949	0.897637795	0.983870968	0.972477064	185.0	101.0	130.0	141.0	135.0	106.0	105.0	 99.0	127.0	124.0	109.0	 TRUE
fimD	2115	4545070	C->T	NCOD				fimD	fimI	A_2	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.076023392	0.085937500	0.293333333	0.218309859	154.0	141.0	160.0	 83.0	107.0	 54.0	178.0	171.0	128.0	150.0	142.0	 TRUE
arcA	2120	4640260	C->T	NSYN	  47	  16	R->H			S_1	0.000000000	0.000000000	0.120481928	0.366666667	0.117117117	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	228.0	 88.0	166.0	120.0	111.0	 70.0	146.0	160.0	125.0	192.0	190.0	 TRUE
arcA	2120	4640260	C->T	NSYN	  47	  16	R->H			V_5	0.000000000	0.000000000	0.000000000	0.000000000	0.025974026	0.595505618	0.014851485	0.000000000	0.009389671	0.000000000	0.000000000	233.0	269.0	186.0	125.0	154.0	178.0	202.0	154.0	213.0	 77.0	197.0	 TRUE
ftsW	2164	  98599	C->T	NSYN	 197	  66	A->V			S_2	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.010752688	0.000000000	0.040000000	0.622950820	0.942857143	0.915662651	264.0	194.0	147.0	102.0	160.0	 93.0	204.0	150.0	122.0	175.0	166.0	 TRUE
ftsW	2164	  98599	C->T	NSYN	 197	  66	A->V			Y_6	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.005747126	0.000000000	0.011173184	0.843434343	0.977777778	215.0	168.0	187.0	165.0	164.0	155.0	174.0	220.0	179.0	198.0	180.0	 TRUE
pdxB	2203	2437680	G->T	NSYN	 172	  58	P->T			S_2	0.000000000	0.000000000	0.000000000	0.081632653	0.272727273	0.250000000	0.913043478	0.961538462	1.000000000	0.972602740	0.968421053	114.0	 71.0	 88.0	 49.0	 88.0	 40.0	 92.0	 78.0	 72.0	 73.0	 95.0	FALSE
arcB	2225	3351677	A->G	NSYN	1349	 450	I->T			S_2	0.000000000	0.000000000	0.265060241	0.224137931	0.137614679	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	174.0	102.0	 83.0	 58.0	109.0	 75.0	129.0	 87.0	131.0	139.0	135.0	FALSE
cytR	2251	4123956	G->T	NSYN	 501	 167	D->E			S_2	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.027027027	0.735714286	0.638655462	0.775510204	1.000000000	0.984615385	177.0	 83.0	107.0	 76.0	108.0	 74.0	140.0	119.0	 98.0	129.0	130.0	 TRUE
idnD	2270	4494288	C->A	NSYN	 119	  40	C->F			S_2	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.051948052	0.264367816	0.190789474	0.579831933	0.936305732	0.876811594	239.0	112.0	123.0	 69.0	116.0	 77.0	174.0	152.0	119.0	157.0	138.0	FALSE
ftsW	2309	  99426	G->C	NSYN	1024	 342	G->R			S_3	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.355555556	0.529411765	0.827586207	0.767123288	0.686274510	171.0	 87.0	 68.0	119.0	 51.0	 55.0	 90.0	119.0	116.0	146.0	102.0	 TRUE
cmtA	2412	3078837	G->T	NSYN	  23	   8	A->E			S_3	0.000000000	0.028735632	0.127516779	0.054216867	0.010204082	0.000000000	0.358823529	0.614754098	0.819587629	0.825783972	0.717791411	366.0	174.0	149.0	166.0	 98.0	124.0	170.0	244.0	194.0	287.0	163.0	FALSE
trkH	2455	4033698	T->A	NSYN	 554	 185	L->Q			S_3	0.000000000	0.141509434	0.142857143	0.040322581	0.000000000	0.000000000	0.475000000	0.453608247	0.902777778	0.811965812	0.575757576	101.0	106.0	 63.0	124.0	 48.0	 40.0	 80.0	 97.0	 72.0	117.0	 99.0	 TRUE
trkH	2455	4033698	T->A	NSYN	 554	 185	L->Q			Y_1	0.000000000	0.666666667	0.802469136	0.957746479	0.901098901	0.891891892	0.884615385	0.953271028	0.990566038	1.000000000	0.974025974	116.0	 60.0	 81.0	 71.0	 91.0	 37.0	104.0	107.0	106.0	 83.0	 77.0	 TRUE
hcp	2501	 913849	G->A	NCOD				hcp	ybjE	S_3	0.000000000	0.128787879	0.079646018	0.056910569	0.000000000	0.000000000	0.365079365	0.387500000	0.814432990	0.781818182	0.533333333	186.0	132.0	113.0	123.0	 91.0	 82.0	126.0	160.0	 97.0	165.0	105.0	 TRUE
flgD	2511	1132507	T->C	SYN	 654	 218	T->T			S_3	0.000000000	0.000000000	0.000000000	0.358208955	0.680555556	0.370786517	0.218978102	0.333333333	0.016393443	0.088607595	0.198113208	203.0	129.0	 76.0	134.0	 72.0	 89.0	137.0	153.0	122.0	158.0	106.0	FALSE
	2521	3352949	indel;-60							S_3	0.000000000	0.000000000	0.000000000	0.480439259	0.560224090	0.485678705	0.309139785	0.299366724	0.052199851	0.104281010	0.296846011	217.6	131.8	100.9	145.7	 71.4	 80.3	148.8	173.7	134.1	182.2	107.8	FALSE
kgtP	2593	2726010	indel;A-1	NCOD				kgtP	rrfG	S_4	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.015625000	0.133333333	0.364406780	173.0	116.0	115.0	124.0	102.0	129.0	163.0	122.0	128.0	120.0	118.0	FALSE
cytR	2619	4123456	C->A	NSYN	1001	 334	R->L			S_4	0.000000000	0.009708738	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.007812500	0.120567376	0.481481481	194.0	103.0	115.0	 86.0	152.0	137.0	234.0	135.0	128.0	141.0	162.0	 TRUE
cytR	2621	4123822	C->T	NSYN	 635	 212	R->H			S_4	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.220689655	0.544303797	0.127388535	220.0	128.0	108.0	126.0	122.0	106.0	215.0	144.0	145.0	158.0	157.0	 TRUE
kdpD	2634	 722998	A->G	NSYN	1417	 473	S->P			S_4	0.000000000	0.122448980	0.441666667	0.480314961	0.564356436	0.650684932	0.960893855	0.955357143	0.982456140	0.974358974	0.983870968	256.0	147.0	120.0	127.0	101.0	146.0	179.0	112.0	114.0	117.0	124.0	FALSE
fimD	2641	4545100	C->T	NSYN	   5	   2	S->L			S_4	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.008695652	0.702857143	0.839694656	0.899224806	0.939393939	0.974576271	171.0	146.0	 88.0	 95.0	104.0	115.0	175.0	131.0	129.0	132.0	118.0	 TRUE
fimD	2641	4545100	C->T	NSYN	   5	   2	S->L			V_5	0.000000000	0.004310345	0.000000000	0.000000000	0.000000000	0.053846154	0.458563536	0.140186916	0.069444444	0.116883117	0.000000000	189.0	232.0	139.0	120.0	116.0	130.0	181.0	107.0	144.0	 77.0	179.0	 TRUE
arcA	2650	4640071	A->T	NSYN	 236	  79	F->Y			S_4	0.000000000	0.000000000	0.000000000	0.045871560	0.328125000	0.360655738	0.014778325	0.000000000	0.007142857	0.000000000	0.000000000	240.0	150.0	 99.0	109.0	128.0	122.0	203.0	131.0	140.0	123.0	121.0	 TRUE
	2668	2948979	indel;-78							S_4	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.184108527	0.493119266	0.083125520	177.0	105.8	 89.1	 91.3	103.2	126.4	149.0	100.3	103.2	 87.2	120.3	FALSE
insE1	2680	 314350	T->G	NCOD				insE1		S_5	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.006944444	0.019354839	0.206106870	0.231707317	197.0	199.0	172.0	120.0	195.0	172.0	183.0	144.0	155.0	131.0	164.0	FALSE
